title,location,rental_type,feat_amenities,rates,host,same_area,host_location,host_reviews,rental_age,rental_reviews,Superhost
2 BR Condo 2 Blocks to Best Beaches in Kihei Maui,Maui,Entire condominium,40,215,Hosted by Thomas,Y,"Kihei, HI ·",318,2,152,Y
Beautiful Studio w/ Stunning Views,Oahu,Entire condominium,25,,Hosted by William,Y,"Honolulu, HI ·",708,4,,
Beachside Studio,Molokai,Entire guest suite,,153,Hosted by Amy,Y,"Waialua, HI ·",328,5,300,Y
Kailua Ocean Breeze Beach Studio,Oahu,Entire guesthouse,,120,Hosted by Frank,Y,"Kailua, HI ·",729,8,234,Y
"Hula Hale, North Shore, Maui",Maui,Entire apartment,,154,Hosted by Claire & Billy,Y,"Haiku-Pauwela, HI ·",374,8,190,Y
Little Studio by the Sea (A/C & bikes),Oahu,Entire guest suite,,198,Hosted by Polly,Y,"Haleiwa, HI ·",259,6,255,Y
King Bdrm w/private bath/ocean view,Oahu,Private room in house,,131,Hosted by MiMi,Y,"Honolulu, HI ·",151,3,148,Y
"""Dancing Turtle""",Maui,Private room in bed and breakfast,27,141,Hosted by Maxi,Y,"Kihei, HI ·",350,4,271,Y
~RAINBOW SUNRISE~ LEGAL IN RESORT ZONE,Oahu,Entire apartment,,153,Hosted by Gina,Y,"Honolulu, HI ·",1574,8,186,N
WAIKIKI Panoramic OCEAN VIEW Studio,Oahu,Entire apartment,,172,Hosted by Nicholas,Y,"Honolulu, HI ·",179,5,178,Y
Luana Waikiki Hotel - Ocean View & Modern style,Oahu,Room in boutique hotel,,169,Hosted by Phillip,Y,"Honolulu, HI ·",194,2,116,Y
Cute and completely private studio,Oahu,Entire guest suite,,139,Hosted by Shiori,Y,"Honolulu, HI ·",485,5,263,Y
Hale ‘Apapane in beautiful Volcano,Big Island,Entire house,36,259,Hosted by Mark,N,"San Francisco, CA ·",488,8,217,Y
Spacious condo close to beach,Maui,Entire apartment,21,202,Hosted by Viktoria,Y,"Kihei, HI ·",4491,6,217,Y
Paradise Awaits You @ TRACY’S TROPICAL TREASURE #4,Maui,Entire apartment,26,207,Hosted by Tracy,Y,"Sunny Kihei in Maui, HI ·",502,10,86,Y
Cottage studio with ocean view,Maui,Entire bed and breakfast,,204,Hosted by Art And Lynnette,Y,"Kula, HI ·",581,5,333,Y
"Amazing Sunset, Amazing Hanauma Bay",Oahu,Entire house,,174,Hosted by Meera,Y,"Honolulu, HI ·",406,7,187,N
Sunrise Hana Beach Studio,Maui,Entire apartment,,166,Hosted by Tania And Kaua,Y,"Hana, HI ·",938,2,409,Y
Haliewa Alii Beach Surfer's Studio,Oahu,Entire guesthouse,21,,Hosted by Damon,Y,"Haleiwa, HI ·",264,4,,
"""THE""OCEAN VIEW IN HAWAII PARADISE!",Oahu,Entire apartment,,209,Hosted by Pia,Y,On the premises where unit is listed ·,243,6,241,N
"Great value, nice Kihei condo",Maui,Entire apartment,18,182,Hosted by Viktoria,Y,"Kihei, HI ·",4491,6,186,Y
Waterfront Retreat by the Sea,Oahu,Entire guest suite,,162,Hosted by Beccy,Y,"Hauula, HI ·",181,4,177,Y
A slice of Aloha in Historic Downtown Kona Hawaii,Big Island,Entire apartment,,112,Hosted by Nev,N,"Manhattan Beach, CA ·",366,7,348,Y
Direct Ocean & Beachfront Studio,Kauai,Entire condominium,28,185,Hosted by Khaled & Heather,Y,"Kapaa, HI ·",350,5,127,Y
"Great Value, Waikiki Studio, Convenient Spot!",Oahu,Entire condominium,,160,Hosted by Justin,Y,"Honolulu, HI ·",229,6,133,N
"Paauilo, Far From the Madding Crowd",Big Island,Entire guesthouse,,148,Hosted by Baki And Bailey,Y,"Kamuela, HI ·",240,7,186,N
Slice Of Paradise (New Ocean Front),Molokai,Entire guest suite,23,,Hosted by Flynn,Y,"Hawaii, HI ·",159,2,160,Y
Napili bay studio All taxes included,Maui,Entire condominium,35,178,Hosted by Ruben,Y,"Hawaii, HI ·",146,2,146,Y
Beautifully updated ocean front condo,Kauai,Entire condominium,31,270,Hosted by Carolyn & Aart,N,"California, CA ·",122,3,121,Y
THE LOTUS GARDEN-Sweet Room/Downtown Hilo,Big Island,Private room in cottage,11,,Hosted by Megan,Y,"Hilo, HI ·",1819,7,419,Y
3 bed/2 bath Oceanfront Bungalow,Oahu,Entire house,21,,Hosted by The Turner Family,Y,"Ewa Beach, HI ·",717,7,180,Y
❤️'s Room ✔Ocean View ✔Lanai ✔Steps2 Beach ✔Wifi,Oahu,Entire serviced apartment,40,200,Hosted by Francisco,Y,"Honolulu, HI ·",1670,7,313,Y
Upscale Condo at Maui Vista Resort with Ocean View,Maui,Entire condominium,37,204,Hosted by Anthony,Y,"Kihei, HI ·",116,2,116,Y
"SEASIDE CONDO Ocean View Free wifi, Oceanside Pool",Kauai,Entire condominium,35,223,Hosted by Mary,Y,"Kauai Hawaii, HI ·",349,6,89,Y
Private Room with private entrance,Oahu,Private room in house,,65,Hosted by Kenny,Y,"Honolulu, HI ·",581,5,228,Y
Discount!! Cozy Condo by beach Waikiki Grand Hotel,Oahu,Entire apartment,35,140,Hosted by Stellavera Kilcher & Michael,Y,"Honolulu, HI ·",244,4,129,N
Simple Serenity by the Sea - Mahalo,Oahu,Tiny house,,95,Hosted by Lori And Tunji,Y,"Hawaii, HI ·",209,5,205,Y
LivingHealthyWithChocolate's Guest House,Oahu,Entire guesthouse,,195,Hosted by LivingHealthyWithChocolate,Y,"Waialua, HI ·",268,3,267,Y
THE LOTUS GARDEN-Sweet Room/Downtown Hilo,Big Island,Private room in cottage,11,85,Hosted by Megan,Y,"Hilo, HI ·",1819,7,,
Beautifully updated ocean front condo,Kauai,Entire condominium,31,,Hosted by Carolyn & Aart,N,"California, CA ·",122,3,,
Kaua'i Princeville at Hanalei Condo with AC,Kauai,Entire apartment,,268,Hosted by Teddy,Y,"Kapaa, HI ·",1089,4,240,Y
Sweet Upstairs Corner Ocean View Studio on Molokai,Molokai,Entire condominium,22,143,Hosted by Sharon,N,"Seattle, WA ·",126,5,116,Y
"Kihei Maui Studio Condo,King bed, from $60 *2",Maui,Entire condominium,,147,Hosted by Aaron,N,"Morrison, CO ·",277,7,155,Y
"One Bdrm Apt, Steps to Hukilau Beach, A/C",Oahu,Entire guest suite,,160,Hosted by Kelly,Y,"Laie, HI ·",365,4,154,Y
★ Huge 3br/3ba ★ Amazing Ocean Views ★ Top rated ★,Big Island,Entire apartment,,,Hosted by Marcus,Y,"Kailua-Kona, HI ·",126,7,116,Y
Ocean View Studio in Fabulous Waikiki Beach!,Oahu,Private room in condominium,38,148,Hosted by Larry,Y,"Honolulu, HI ·",1162,3,,
NICE STUDIO FREE WIFI EXC LOCATION TAX INCLUDED,Oahu,Entire apartment,29,174,Hosted by Olivier,Y,"Honolulu, HI ·",1107,6,228,Y
Hobbit Hut,Oahu,Entire bed and breakfast,,135,Hosted by Casey & Shae,Y,"Waialua, HI ·",1110,6,283,Y
"Convenient Location, Waikiki Studio",Oahu,Entire condominium,,165,Hosted by Justin,Y,"Honolulu, HI ·",229,6,94,N
3bd/2bath Modern Home by Beach and Mountains,Oahu,Entire house,40,207,Hosted by Damaris,Y,"Hauula, HI ·",393,5,78,N
Charming Beach #2 Cabana Room Single,Kauai,Private room in apartment,,86,Hosted by Solveig,Y,"Kauai, HI ·",514,5,204,N
1 bedroom Center of Waikiki Free ParkingWifi,Oahu,Entire condominium,42,209,Hosted by Ewa,Y,"Honolulu, HI ·",215,4,215,Y
The Ohana Studio,Oahu,Entire house,24,138,Hosted by Brian,Y,"Honolulu, HI ·",358,4,184,Y
Steps to Charley Young Beach Apt #3,Maui,Entire apartment,29,170,Hosted by Thomas,Y,"Hawaii, HI ·",998,3,212,Y
Waikiki Banyan Amazing Ocean View w/Free Parking,Oahu,Entire condominium,39,279,Hosted by Liping,,United States ·,179,4,164,Y
25th Fl. Ocean Views | 1 Block to Beach | WiFi,Oahu,Entire condominium,30,244,Hosted by Midway Realty LLC,Y,"Honolulu, HI ·",1434,4,76,Y
New! Bali Hai Studio w/ pool + jacuzzi @the Cliffs,Kauai,Entire condominium,33,,Hosted by Nathalie,Y,"Kilauea, HI ·",174,7,,
Off Grid Hale,Oahu,Entire bed and breakfast,,124,Hosted by Casey & Shae,Y,"Waialua, HI ·",1110,6,258,Y
Hawaii Surf Inspired Home,Oahu,Entire house,,283,Hosted by Meg,Y,"Hauula, HI ·",425,6,236,N
*Maui Vista Condo*Bldg2* Great Location*Sleeps 4-5,Maui,Entire condominium,,165,Hosted by Deirdre,N,"Berkeley, CA ·",131,6,128,Y
#1 TRACY’S TROPICAL TREASURES:VOTED #1 IN MAUI!,Maui,Entire apartment,34,183,Hosted by Tracy,Y,"Sunny Kihei in Maui, HI ·",502,10,220,Y
Luxurious Ocean View Cottage,Maui,Entire guesthouse,,187,Hosted by Anna,Y,"Makawao, HI ·",199,3,106,N
Tropical Gardens; Pool & Hot Tub; Walk to Beach!,Maui,Entire condominium,,263,Hosted by Alexa,Y,"Makawao, HI ·",523,3,59,Y
Spacious 2BR/2 Bath Condo ~ 75 step to the beach,Maui,Entire condominium,32,233,Hosted by June,N,"Union City, CA ·",212,7,211,Y
NEW!! Hanalei Hideaway North Shore condo,Kauai,Entire condominium,31,230,Hosted by Cristy,Y,"Hanalei, HI ·",199,2,96,Y
Healing Hawaii Ocean 2 big beds Free Parking ~~,Oahu,Entire apartment,38,215,Hosted by Sammie,Y,"Honolulu, HI ·",186,2,72,N
"OCEAN VIEW 1BLK2BEACH,LANAI A/C,FULL KITCH,CENTRAL",Oahu,Private room in condominium,18,88,Hosted by Lynne,Y,"Honolulu, HI ·",303,11,232,N
Orchard Oasis,Oahu,Entire bed and breakfast,,124,Hosted by Casey & Shae,Y,"Waialua, HI ·",1110,6,353,Y
Newly Renovated 2 Bd family-friendlyCond w/Parking,Oahu,Entire apartment,43,,Hosted by Masa,N,"Sendai, Japan ·",233,5,122,Y
SUITE DREAMS MAUI,Maui,Entire apartment,37,194,Hosted by Tracy,Y,"Sunny Kihei in Maui, HI ·",502,10,178,Y
Enjoy Waking Up to a Beautiful View,Oahu,Entire apartment,35,151,Hosted by Gina,Y,"Honolulu, HI ·",246,5,146,N
"Large condo in heart of Waikiki, steps to beach",Oahu,Entire apartment,35,282,Hosted by Nigel,Y,"Honolulu, HI ·",556,3,146,Y
Clear ☺︎cean view pvt Lanai✔ steps2 beach✔ WIFI,Oahu,Entire serviced apartment,34,194,Hosted by Francisco,Y,"Honolulu, HI ·",1670,7,249,Y
Fun in the sun and beach at cozy Kihei get away!,Maui,Private room in condominium,,139,Hosted by Louise,Y,"Kihei, HI ·",188,3,181,Y
New!! Hanalei Haven North Shore condo,Kauai,Entire condominium,35,255,Hosted by Cristy,Y,"Hanalei, HI ·",199,2,101,Y
Surfers & Writers Paradise Studio,Oahu,Entire apartment,,165,Hosted by Betsy,Y,"Haleiwa, HI ·",469,8,259,N
Steps to Charley Young Beach Apt #2,Maui,Entire apartment,31,181,Hosted by Thomas,Y,"Hawaii, HI ·",998,3,119,Y
Room in Upcountry Home close to Haleakala and Hana,Maui,Private room in house,18,102,Hosted by Justin,Y,"Hawaii, HI ·",204,3,205,N
Aqua Blue Hawaii - A Beautiful North Shore Home.,Oahu,Entire cottage,,289,Hosted by Jojo,Y,"Laie, HI ·",146,2,90,Y
BEAUTIFUL STUDIO FREE WIFI EXC LOC TAX INCLUDED,Oahu,Entire apartment,29,174,Hosted by Olivier,Y,"Honolulu, HI ·",1107,6,234,Y
CHARM STUDIO EXC LOCATION FREE WIFI TAX INCLUDED,Oahu,Entire apartment,30,152,Hosted by Olivier,Y,"Honolulu, HI ·",1107,6,180,Y
Beach Front Apartment,Oahu,Entire apartment,14,220,Hosted by Nic,N,"Sorrento, Australia ·",171,4,172,Y
Steps to Charley Young Beach Apt #5,Maui,Entire apartment,27,170,Hosted by Thomas,Y,"Hawaii, HI ·",998,3,172,Y
NEW! Romantic North Shore Honeymooners Condo,Kauai,Entire apartment,,260,Hosted by Teddy,Y,"Kapaa, HI ·",1089,4,180,Y
☼☼ Here Today Gone To Maui!☼☼,Maui,Entire condominium,21,,Hosted by Candice,Y,"Kihei, HI ·",520,6,203,Y
Waikiki Studio - Just Steps to the Beach and Zoo!,Oahu,Entire condominium,36,203,Hosted by Matt,Y,"Kaneohe, HI ·",1093,4,184,Y
Waikiki Ocean View Studio w Parking,Oahu,Entire apartment,42,,Hosted by Caroline,Y,"Honolulu, HI ·",273,4,,
Private Room upstairs in two-story house.,Big Island,Private room in house,21,75,Hosted by Shelly,Y,"Kailua-Kona, HI ·",531,4,344,Y
☼☼ Here Today Gone To Maui!☼☼,Maui,Entire condominium,21,163,Hosted by Candice,Y,"Kihei, HI ·",520,6,,
Private Tropical Suite,Kauai,Entire guest suite,28,151,Hosted by Beatrice & John,Y,"Kauai, HI ·",506,8,216,Y
Sacred Falls STUDIO,Oahu,Entire cottage,,185,Hosted by Dolly,Y,"Laie, HI ·",697,6,314,Y
SuperHosts! Charming Studio all to Yourself!,Kauai,Entire apartment,,189,Hosted by Sky & Lani,Y,"Kaua'i, HI ·",471,8,297,Y
Welcome to Paikapahu,Big Island,Private room in nature lodge,,75,Hosted by Ken And Courtney,Y,"Kealakekua, HI ·",760,6,369,Y
Sharks Cove_Ke Iki Beach,Oahu,Entire guesthouse,,173,Hosted by Adriana,Y,"Haleiwa, HI ·",221,4,217,Y
"Aina Nalu Resort Studio, AC, wifi, 2 pools",Maui,Entire condominium,,180,Hosted by Kathleen,Y,"Maui, HI ·",197,6,131,Y
Modern Waikiki Studio with Ocean Views 29B,Oahu,Entire apartment,,,Hosted by Sean,Y,"Honolulu, HI ·",886,5,,
Cozy Waialua Getaway,Oahu,Entire cabin,,145,Hosted by Mahina And Cristian,Y,"Waialua, HI ·",244,5,242,N
Outside entry to air conditioned private bed/bath,Kauai,Private room in house,,100,Hosted by Glenn,Y,"Princeville, HI ·",279,3,279,Y
Kuau Paradise Condo with Balcony,Maui,Entire condominium,33,162,Hosted by Cherie,Y,"Makawao, HI ·",238,4,185,Y
Napili Cottage Style Studio,Maui,Entire condominium,33,177,Hosted by Doug & Diana,N,Northern California ·,163,4,164,Y
Kula Treat - Upcountry Maui with Hot Tub!,Maui,Entire apartment,,162,Hosted by Pamela,Y,"Kula, HI ·",834,5,441,Y
"Gianna's Place-Sparkling Pool, Jacuzzi, BBQ",Kauai,Entire condominium,25,100,Hosted by Sydney,N,"Soquel, CA ·",157,4,100,Y
"OCEANFRONT, Amazing View, NAPILI - LAHAINA, Maui",Maui,Entire condominium,,233,Hosted by Ryan,N,"Boise, ID ·",99,1,94,Y
"B&B.....A place to yourself ....""almost"".... :)",Oahu,Private room in condominium,25,105,Hosted by Pamela,Y,"Waialua, HI ·",355,6,356,Y
"Sweeping ocean view, great beach",Oahu,Entire condominium,21,178,Hosted by Cyndia,N,"Olympia, WA ·",89,4,87,Y
Great 1 Bdrm Across fr Beach OceanView! Start $129,Maui,Entire apartment,,194,Hosted by Romelle,Y,"Kihei, HI ·",242,9,240,Y
Newly Renovated Northshore Condo,Kauai,Entire apartment,,247,Hosted by Carla,Y,"Kilauea, HI ·",174,3,74,Y
~The Surf Shack~ with breathtaking ocean views!!,Kauai,Entire condominium,36,,Hosted by Kasey,Y,"Princeville, HI ·",78,5,51,Y
Sealodge Ocean Front 2 Bdroom Condo,Kauai,Entire condominium,26,200,Hosted by Tim And Cathy,N,"Long Beach, CA ·",287,8,209,Y
The Hibiscus Room,Oahu,Private room in house,21,66,Hosted by J,Y,"Honolulu, HI ·",723,5,348,N
Kauai Kailani...steps to the beach!,Kauai,Entire condominium,21,182,Hosted by Lisa,N,"El Cerrito, CA ·",118,3,53,Y
"Ho'okipa Hideaway, North Shore Maui",Maui,Entire guest suite,,174,Hosted by Claire & Billy,Y,"Haiku-Pauwela, HI ·",374,8,179,Y
Luxurious 2 Br Oceanside Cottage.,Molokai,Entire cottage,34,149,Hosted by Seth,Y,"Honolulu, HI ·",99,4,149,Y
Princeville at Hanalei Condo,Kauai,Entire apartment,,232,Hosted by Teddy,Y,"Kapaa, HI ·",1089,4,217,Y
New!! Hanalei Bay Penthouse with Ocean Views,Kauai,Entire loft,36,269,Hosted by Krissy,Y,"Hanalei, HI ·",144,1,74,Y
Romantic Beachfront Getaway,Maui,Entire apartment,,210,Hosted by Craig,N,"Los Angeles, CA ·",172,6,210,Y
Makai Hideaway,Big Island,Entire house,36,289,Hosted by Cheryl,N,"Escondido, CA ·",140,6,127,Y
Pay 3 star hotel but stay 4/5 hotel.,Oahu,Entire condominium,30,217,Hosted by Young,Y,"Honolulu, HI ·",140,3,104,N
Modern Tropical Residence w Indoor/Outdoor Living,Kauai,Entire guest suite,26,,Hosted by Emily & Rob,Y,"Princeville, HI ·",297,9,,
Modern Tropical Residence w Indoor/Outdoor Living,Kauai,Entire guest suite,26,,Hosted by Emily & Rob,Y,"Princeville, HI ·",297,9,,
"Ocean View, Quiet Beach, Free Pkg, Walk to Town",Kauai,Entire condominium,31,178,Hosted by Tony,N,"Carlsbad, CA ·",289,4,178,Y
Luxurious Waterfront Bungalow #1 w/ Screened Lanai,Kauai,Entire apartment,21,,Hosted by Michael & Paula,Y,"Kapaa, HI ·",295,5,,
Charming Getaway in Princeville,Kauai,Entire apartment,,127,Hosted by Sarah,N,"Berkeley, CA ·",440,7,269,Y
"Ocean Front Luxury Condo, free WIFI, Kuleana",Maui,Entire apartment,,278,Hosted by Nina & Anders,N,"San Francisco, CA ·",203,8,171,Y
One Room and Private Bathroom - Great for Hikers,Kauai,Private room in guest suite,14,116,Hosted by James,Y,"Princeville, HI ·",435,5,437,N
Studio in Heart of Princeville!,Kauai,Entire apartment,23,163,Hosted by Juliana,Y,"Princeville, HI ·",568,4,213,Y
Oh-So-Close to Waikīkī Beach Condo (100% LEGAL),Oahu,Entire apartment,42,,Hosted by Ashlee,Y,"Honolulu, HI ·",368,4,161,Y
Modern Beach Home Laie North Shore,Oahu,Entire guest suite,23,230,Hosted by Geoff,Y,"Laie, HI ·",700,7,205,Y
Luana Kai Oceanfront Condo by Owner,Maui,Entire condominium,,,Hosted by Donald,N,"Freeport, NY ·",337,10,,
"Full condo, oceanfront resort",Maui,Entire condominium,26,204,Hosted by Mary,N,"Halifax, Canada ·",185,3,106,Y
KAI at Pohailani Condo on MAUI 2br,Maui,Entire condominium,35,185,Hosted by Lori,Y,"Lahaina, HI ·",164,7,163,Y
Honolulu Historic Home Manoa Valley,Oahu,Entire loft,19,167,Hosted by Kathleen,Y,"Honolulu, HI ·",253,7,230,Y
"Luxury cottage Kailua Lanikai Beaches , A/C",Oahu,Entire cottage,,296,Hosted by Zenobia,Y,"Hawaii, HI ·",209,5,96,Y
BRAND NEW STUDIO IN SUNNY KIHEI,Maui,Entire condominium,,187,Hosted by Stewart,,,159,3,159,Y
Beautiful & Spacious Wailea Condo!! Walk to beach,Maui,Entire condominium,34,324,Hosted by Ashley,N,"Connecticut, CT ·",441,3,104,Y
PIPELINE solar home MONTHLY bookings only,Oahu,Entire bungalow,,,Hosted by Meleana,Y,"Haleiwa, HI ·",364,8,126,N
Little Piece of Paradise,Maui,Private room in house,,,Hosted by Phil,Y,"Maui, HI ·",502,6,,
