title,location,rental_type,feat_amenities,host,same_area,host_location,host_reviews,rental_age
Dreamy Tropical Tree House,Big Island,Island,12,Hosted by Kayte,N,"Twin Falls, ID ·",2,3
Kealakekua Bay Bali Cottage -steps from Bay,Big Island,Entire guesthouse,28,Hosted by Karen,Y,"Big Island, HI ·",480,8
Adorable Garden Gingerbread House,Maui,Entire cottage,,Hosted by Eve,Y,"Makawao, HI ·",366,7
Aloha Nature Lovers,Big Island,Entire cabin,,Hosted by Keith,Y,"Kailua-Kona, HI ·",508,8
Cozy apartment in Holualoa,Big Island,Entire house,25,Hosted by Karoline,Y,"Hōlualoa, HI ·",306,6
Cozy Ohana/Small apartment,Big Island,Entire guesthouse,13,Hosted by Tiffany And Larry,Y,"Kealakekua, HI ·",345,4
Treehouse at Kilauea Volcano,Big Island,Treehouse,22,Hosted by Mahinui,Y,"Volcano, HI ·",424,9
Luxury Studio w/ Private Lanai,Big Island,Entire apartment,,Hosted by Carolyn,Y,"Volcano, HI ·",425,5
Bayview Condo!,Oahu,Entire apartment,38,Hosted by Donald,Y,"Kaneohe, HI ·",104,3
ABSOLUTELY OCEAN FRONT CONDO,Big Island,Entire condominium,,Hosted by Jerry And Alice,Y,"Kailua-Kona, HI ·",507,6
Sunset Beach Treehouse Bungalow !!!,Oahu,Treehouse,,Hosted by John,Y,"Oahu, HI ·",823,9
Eco Hale Hawaii in the Rainforest Lots Of Aloha,Big Island,Entire cabin,26,Hosted by Kaeo & Karl,Y,"Hawaii Island, HI ·",309,6
KING SIZE BED STUDIO JUST STEPS TO THE BEACH,Oahu,Entire condominium,26,Hosted by Elisabet,Y,"Hawaii, HI ·",1365,7
Ocean View 1BR @ The Shores of Maui upscale style,Maui,Entire condominium,38,Hosted by Thomas,Y,"Hawaii, HI ·",417,4
Beautiful Condo in Downtown Kona,Big Island,Entire condominium,21,Hosted by Edward,Y,"Kailua-Kona, HI ·",1001,6
Adventure Treehouse - As featured on HGTV!,Big Island,Tiny house,21,Hosted by Melissa,N,"Bountiful, UT ·",252,2
Front row seats to the lava flow!,Big Island,Tiny house,,Hosted by Sean & Zorro,Y,Kalapana ( LAVA tour guide) and Kapoho ( Snorkel tour guide) BIG ISLAND ·,772,5
Mokuna Tree House,Big Island,Treehouse,,Hosted by Ekaterina,N,"Las Vegas, NV ·",300,5
Hawaiian style Indoor outdoor suite,Oahu,Entire house,,Hosted by Cara,Y,"Honolulu, HI ·",151,6
Spacious Studio By Beach & Hikes,Oahu,Entire guest suite,,Hosted by Damaris,Y,"Hauula, HI ·",323,5
Modern Waikiki Studio 1/2 block from the beach,Oahu,Entire condominium,25,Hosted by Jiyoon,Y,"Honolulu, HI ·",182,3
"Cabin\ Bali Hut, tropical paradise",Big Island,Hut,,Hosted by Louisa,Y,"Pāhoa, HI ·",285,7
HawaiianJungleHangout,Big Island,Entire house,,Hosted by Liz,N,"San Francisco, CA ·",412,9
Cute Kahala Cottage - Walk to Beach,Oahu,Entire guesthouse,21,Hosted by Laurens,Y,"Honolulu, HI ·",301,8
#Private Studio - Waikiki Dream,Oahu,Entire condominium,25,Hosted by Dana,Y,"Honolulu, HI ·",589,5
Aeolani - Panoramic Views / Pool,Big Island,Entire house,,Hosted by Steve,Y,"Kailua-Kona, HI ·",469,5
MAUI DIRECT OCEAN FRONT FOR REAL! Super Private!,Maui,Entire house,17,Hosted by Jay,N,"Los Angeles, CA ·",1920,7
☆Adventure Awaits You in the Trees☆,Big Island,Treehouse,,Hosted by Levi,Y,"Kihei, HI ·",252,4
Honu Ohana - walk to White Sands,Big Island,Entire guest suite,31,Hosted by Liz And Robert,Y,"Kailua-Kona, HI ·",261,6
Waikiki Renovated Modern Studio,Oahu,Entire apartment,36,Hosted by Ash,Y,"Honolulu, HI ·",433,6
Beautiful yurt in tropical paradise,Big Island,Yurt,,Hosted by Rachel,Y,"Keaau, HI ·",474,4
Ocean View Studio in Waikiki,Oahu,Entire apartment,27,Hosted by Nami,Y,"Honolulu, HI ·",304,2
Suite By The Sea-Steps to Waikiki Beach,Oahu,Entire apartment,,Hosted by Evan,Y,"Honolulu, HI ·",1144,8
Renovated Cozy Studio with Great View,Oahu,Entire apartment,33,Hosted by Ash,Y,"Honolulu, HI ·",433,6
THE LOTUS GARDEN-Lo'i Apartment/ Downtown Hilo,Big Island,Entire apartment,14,Hosted by Megan,Y,"Hilo, HI ·",1819,7
Newly Remodeled Private Farm Studio W/ Ocean View,Big Island,Entire guesthouse,,Hosted by Jeff,Y,"Kailua-Kona, HI ·",354,5
Stay in the Heart of Waikiki,Oahu,Entire apartment,29,Hosted by C & C,Y,"Honolulu, HI ·",694,6
Lovely Guest Suite - no cleaning fee,Big Island,Entire guest suite,,Hosted by Maria And Steve,Y,"Hilo, HI ·",558,6
Avocado Tree-House near Pahoa,Big Island,Entire bungalow,,Hosted by Elvira And Hugh,Y,"Pāhoa, HI ·",263,6
Lizard Lookout,Big Island,Entire bungalow,,Hosted by Elizabeth,Y,"Hawaii, HI ·",380,8
Lovely Ocean and Beach views Studio,Molokai,Entire apartment,40,Hosted by Michael,N,"Alaska, AK ·",240,5
"Amazing Paradise Encounter, Hilo - Volcano",Big Island,Entire house,48,Hosted by Morris & Yuka,Y,"Keaau, HI ·",426,7
Gorgeous Tropical Kihei Resort!,Maui,Entire condominium,27,Hosted by Katie,N,"California, CA ·",147,3
Beach Retreat,Oahu,Entire guesthouse,22,Hosted by Alicia,Y,"Hawaii, HI ·",347,3
THE LOTUS GARDEN-Attic Room/Downtown Hilo,Big Island,Room in hotel,,Hosted by Megan,Y,"Hilo, HI ·",1819,7
"Mangolay, a Garden of Eden in Puna",Big Island,Private room in guesthouse,,Hosted by Paul,Y,"Pāhoa, HI ·",281,6
.Volcano Park House,Big Island,Entire apartment,22,Hosted by Ron,Y,"Hilo, HI ·",357,4
Downtown Kona Plaza Gem,Big Island,Entire condominium,,Hosted by Edward,Y,"Kailua-Kona, HI ·",1001,6
Coastline Getaway for 2,Oahu,Entire apartment,21,Hosted by The Turner Family,Y,"Ewa Beach, HI ·",717,7
Ocean View Deluxe Corner Unit,Oahu,Entire condominium,,Hosted by Hide,Y,"Honolulu, HI ·",791,4
Ocean View Deluxe Corner Unit,Oahu,Entire condominium,,Hosted by Hide,Y,"Honolulu, HI ·",791,4
2 BR. 5 MINS. DR. TO WAIKIKI BEACH,Oahu,Entire house,,Hosted by Sonia & James,Y,"Honolulu, HI ·",230,6
Vintage Modern By the Beach,Big Island,Private room in house,,Hosted by Dan,Y,"Kailua-Kona, HI ·",13,5
Sea Cliff House - Ocean front newly remodeled,Oahu,Entire townhouse,21,Hosted by Geoff,Y,"Laie, HI ·",700,7
PRIVATE 1 BEDROOM BEAUTIFUL BEACH FRONT,Oahu,Entire guesthouse,,Hosted by J.,Y,"Laie, HI ·",322,5
Charming Beach #1 Cabana Room Single,Kauai,Private room in apartment,,Hosted by Solveig,Y,"Kauai, HI ·",514,5
Romantic & Relaxing Poolhouse in Waikoloa Village,Big Island,Entire guesthouse,34,Hosted by Bob And Leesa,Y,"Waikoloa Village, HI ·",259,6
"Sunrise and surf,Close to Hilo",Big Island,Private room in house,,Hosted by Jeremiah,Y,"Big island, HI ·",278,6
Namaste Estates,Big Island,Entire cottage,,Hosted by Tom,Y,"Big Island of Hawaii, HI ·",257,4
Spacious Condo/heart of Waikiki beach/FREE PARKIN,Oahu,Entire apartment,39,Hosted by Saichi,Y,"Honolulu, HI ·",913,5
Heavenly Hawaii 4 Bed Ocean View⛵️,Oahu,Entire loft,,Hosted by Penny & Cannon,Y,"Hawaii, HI ·",285,5
Romantic Treehouse in the Hawaiian Rainforest.,Big Island,Treehouse,24,Hosted by Shannon,N,"California, CA ·",221,6
"In The Heart of Waikiki,Quiet,Cozy and Clean",Oahu,Entire apartment,,Hosted by Frank,Y,"Honolulu, HI ·",118,2
Sweet Studio surrounded by Nature,Oahu,Entire guesthouse,25,Hosted by Aubrey,Y,"Honolulu, HI ·",246,7
Country House on orchard farm,Oahu,Entire cottage,,Hosted by Daniel,Y,"Haleiwa, HI ·",170,6
THE HAPPIEST SPACE - WAIKIKI SMILES,Oahu,Entire apartment,23,Hosted by Kurt,Y,"Honolulu, HI ·",929,9
Kealakekua Bay Cottage With A View!,Big Island,Entire cabin,,Hosted by Peter And Barbara,Y,"Big Island or Hawaii, HI ·",368,7
Sunset Beach Temple Treehouse !!!,Oahu,Treehouse,,Hosted by John,Y,"Oahu, HI ·",823,9
**MAGICAL LAVA TEMPLE with EPIC Volcano Views**,Big Island,Entire cottage,30,Hosted by Jade,Y,"Big Island HAWAII , HI ·",830,9
"Artistic Cabin, In the Forest!",Big Island,Entire cabin,19,Hosted by Anzu,Y,"Hilo, HI ·",381,6
"Ocean view, Amazing Pool, Free wifi & Parking",Kauai,Entire apartment,32,Hosted by Mary,Y,"Kauai Hawaii, HI ·",349,6
~Seaside to Summit~Kona Hawaii USA~,Big Island,Entire guest suite,,Hosted by Trish,Y,"Kailua-Kona, HI ·",195,8
"""HANALEI GETAWAY"" SPECTACULAR VIEWS HBR 8131",Kauai,Entire condominium,28,Hosted by Wade,N,"Huntington Beach, CA ·",893,9
Steps to Charley Young Beach Apt #6,Maui,Entire apartment,29,Hosted by Thomas,Y,"Hawaii, HI ·",908,3
"Downtown Clean, Waikiki is close!!",Oahu,Private room in house,,Hosted by Saranya,Y,"Honolulu, HI ·",412,3
Oceanview/Cozy/Spacious/Charming,Oahu,Private room in house,25,Hosted by Janina,Y,"Kaaawa, HI ·",252,6
Open Space Triangle House Ocean . Stars . Explore,Big Island,Entire house,31,Hosted by SherylRose,N,"California, CA ·",680,6
Waterfront Hawaii Kai bed + bath,Oahu,Private room in house,,Hosted by James And Naomi,Y,"Honolulu, HI ·",652,4
Shaka by the Beach,Oahu,Entire guesthouse,,Hosted by Michele,Y,"Ewa Beach, HI ·",388,5
Idyllic Honaunau Standard Room with Mountain Views,Big Island,Private room in house,25,Hosted by Rhonda,Y,"Captain Cook, HI ·",792,6
Paradise Studio Walk to Beach,Oahu,Entire house,,Hosted by Hannah,Y,"Kailua, HI ·",284,5
Private Kaneohe Bay Studio,Oahu,Entire guest suite,32,Hosted by Brett And Kimberley,Y,"Kaneohe, HI ·",205,6
Lux Modern Home . Star Gazing . Ocean & Explore,Big Island,Entire house,34,Hosted by SherylRose,N,"California, CA ·",680,6
MAUI LAHAINA OCEAN FRONT STUDIO! NEAR NAPILI!,Maui,Entire condominium,26,Hosted by Jay,N,"Los Angeles, CA ·",1920,7
Ocean ∘ City ∘ Mountain views in the ❤️ of Waikiki,Oahu,Entire condominium,,Hosted by Jen & David,,,73,1
Private Garden Studio with Ocean Views in Na'alehu,Big Island,Entire guest suite,34,Hosted by Paul,,,853,6
Ocean ∘ City ∘ Mountain views in the ❤️ of Waikiki,Oahu,Entire condominium,,Hosted by Jen & David,,,73,1
"""Surf Suite"", cozy studio apt",Maui,Entire condominium,,Hosted by Bill & Tracey,N,"St Albert, Canada ·",320,8
5 minute walk to Magic Sands Beach!,Big Island,Entire guest suite,22,Hosted by Paul,Y,"Kailua-Kona, HI ·",468,5
"Awesome View 10-15 min. to Kona, Treehouse Room #4",Big Island,Private room in guesthouse,21,"Hosted by Antoinette, Johnny & Luna",Y,"Hōlualoa, HI ·",1505,6
Dwell-Style Mountain Retreat!,Oahu,Entire guesthouse,,Hosted by Doug,Y,"Honolulu, HI ·",132,6
The House in the Clouds,Big Island,Entire apartment,,Hosted by Kristin,Y,"Volcano, HI ·",396,4
VIEWS VIEWS VIEWS~ Cheapest OCEANFRONT CONDO \ooo/,Maui,Entire condominium,,Hosted by Maui Vacation,Y,"Wailuku, HI ·",175,5
28F Panorama Ocean View Studio with Full Kitchen!,Oahu,Entire condominium,,Hosted by Nobu,Y,"Honolulu, HI ·",1393,4
Peaceful House in Kona Paradise,Big Island,Entire house,,Hosted by Delphine,Y,"Captain Cook, HI ·",308,6
Kawelo Hale Kai Ocean Front Suite,Oahu,Entire guesthouse,25,Hosted by Alexi Kawelo,Y,"Kaneohe, HI ·",1,3
"Romantic Garden Cottage,View! Pool!",Kauai,Entire cottage,36,Hosted by Jeffrey,N,"Los Angeles, CA ·",710,6
"Bamboo Temple, views to dream, walk to waterfall!",Maui,Entire cabin,,Hosted by Jennifer & Kutira,Y,"Huelo HI, HI ·",392,6
"Private acommodation, Mountain and Ocean views",Maui,Entire bungalow,,Hosted by Farm,Y,"Hana, HI ·",650,5
Highrise studio w/ incredible views,Oahu,Entire apartment,22,Hosted by William,Y,"Honolulu, HI ·",706,4
Balinese Elegance Close to Beach,Big Island,Entire loft,,Hosted by Justin,N,"San Francisco, CA ·",1985,8
"Cozy Cottage, Room #1",Oahu,Private room in house,,Hosted by Allison & Gary,Y,"Hawaii, HI ·",1511,6
"Ocean Gem w/Big Ocean View, Amazing Pool Free Wifi",Kauai,Entire apartment,33,Hosted by Mary,Y,"Kauai Hawaii, HI ·",349,6
"Oceanfront w/ Pool, Hear the Waves, Strong WIFI",Maui,Private room in condominium,,Hosted by BethAnn,Y,"Maalaea, HI ·",254,4
Newly Renovated 2 Bed 2 Bath family-friendly Cond,Oahu,Entire apartment,45,Hosted by Masa,N,"Sendai, Japan ·",233,5
Kona Studio & Pool,Big Island,Entire guest suite,32,Hosted by Laura,Y,"Kailua-Kona, HI ·",371,4
THE GRAND EXPERIENCE,Oahu,Entire apartment,23,Hosted by Kurt,Y,"Honolulu, HI ·",929,9
STUDIO OCEAN VIEW FREE WIFI EXC LOC TAX INCLUDED,Oahu,Entire apartment,30,Hosted by Olivier,Y,"Honolulu, HI ·",1107,6
Kona Town Oasis,Big Island,Private room in house,,Hosted by Marc,Y,"Kailua-Kona, HI ·",556,4
"Hanalei Bay Resort 1513, Quiet Hotel Suite",Kauai,Entire condominium,,Hosted by Cory,N,"Houston, TX ·",299,3
Leilani Pahoa : Naturist Beach : Allergy Friendly,Big Island,Entire cottage,29,Hosted by Babette,Y,"Hawaii, HI ·",212,8
••61M•• Private BED ROOM girls only mid of WAIKIKI,Oahu,Private room in apartment,,Hosted by Tomoko,Y,"Honolulu, HI ·",2622,6
Amazing Studio/Spectacular view/Heart of Waikiki,Oahu,Entire apartment,34,Hosted by Saichi,Y,"Honolulu, HI ·",913,5
Romantic Bliss Maui,Maui,Entire apartment,36,Hosted by Tracy,Y,"Sunny Kihei in Maui, HI ·",502,10
Ocean View Cottage in private member assoissiation,Maui,Entire bungalow,,Hosted by Farm,Y,"Hana, HI ·",650,5
Beautiful Oceanfront sunny Waikiki,Oahu,Room in hotel,33,Hosted by Dana,Y,"Kailua-Kona, HI ·",556,9
Tropical & Airy By the Beach,Big Island,Private room in house,,Hosted by Dan,Y,"Kailua-Kona, HI ·",13,5
Cozy Tropical Retreat,Oahu,Entire guesthouse,,Hosted by Alfon,Y,"Honolulu, HI ·",126,4
"Cozy Cottage, Room #2",Oahu,Private room in house,33,Hosted by Allison & Gary,Y,"Hawaii, HI ·",1511,6
Luxury Vacation Walk to Beach Ocean Condo Maui HI,Maui,Entire condominium,,Hosted by Rebecca,,,260,5
Treehouse Ohana,Big Island,Private room in guest suite,,Hosted by James & Keiko,Y,"Kailua-Kona, HI ·",259,7
Lovely Bedroom In Sunny Waikiki,Oahu,Private room in condominium,31,Hosted by Kumiko,Y,"Honolulu, HI ·",,3
Peaceful Balinese Teak Cottage and Gardens,Big Island,Entire cottage,,Hosted by Suzanne,Y,"Pāhoa, HI ·",288,7
"Chandy's Place, ""elua"" two",Big Island,Private room in house,,Hosted by Chandy,Y,"Kailua-Kona, HI ·",979,5
"Breathe in Beauty, Peace and Light",Big Island,Entire house,23,Hosted by Konrad & Robert,Y,"Pāhoa, HI ·",436,6
Lucy Fan Ohana - A Maui Gem!,Maui,Entire apartment,39,Hosted by Judit & Tim,Y,"Haiku, HI ·",313,6
Beautiful 90° Ocean View,Maui,Entire condominium,,Hosted by Ingrid,N,"Burnaby, Canada ·",178,3
Steps to Charley Young Beach Apt #1,Maui,Entire apartment,30,Hosted by Thomas,Y,"Hawaii, HI ·",998,3
Newly Renovated Studio in Heart of Princeville!,Kauai,Entire apartment,28,Hosted by Juliana,Y,"Princeville, HI ·",568,4
North Shore Glamping,Molokai,Tent,,Hosted by Scott And Melissa,Y,"Waialua, HI ·",611,7
OCEANFRONT GET-A-WAY,Maui,Entire apartment,,Hosted by Robert,N,"Anola, Canada ·",148,6
Cool Newly Renovated Studio! 10 Minutes to Hanalei,Kauai,Entire condominium,,Hosted by Carla,Y,"Kilauea, HI ·",174,3
"MOLOKAI, OCEAN VIEW 1 BD + LOFT BD, not on MAUI",Molokai,Entire apartment,,Hosted by Jay,N,"San Clemente, CA ·",220,5
Sunset Beach Surf Cabin North shore,Oahu,Entire cabin,,Hosted by John,Y,"Oahu, HI ·",823,9
"Beautiful North Shore Oahu, 3 Beds!",Oahu,Entire guesthouse,,Hosted by Rainey,Y,"Haleiwa, HI ·",335,8
2 BEDROOM OCEAN FRONT AMAZING VIEW,Kauai,Entire condominium,40,Hosted by Michael,Y,"Kapaa, HI ·",204,7
Contemporary Family Condo (Princeville),Kauai,Entire condominium,36,Hosted by Kevin,N,"San Francisco, CA ·",292,6
